family	n_mags	n_sgbs	n_wild_sgbs	n_singleton_sgbs
Lachnospiraceae	617	295	178	160
Ruminococcaceae	569	274	220	125
Acutalibacteraceae	241	127	67	60
Oscillospiraceae	213	128	81	70
Anaerovoracaceae	77	42	24	23
Aristaeellaceae	58	40	3	24
CAG-138	57	38	1	21
CAG-508	52	28	18	14
Butyricicoccaceae	40	22	18	10
UBA3700	38	14	14	4
(unassigned)	31	17	14	8
Pumilibacteraceae	25	17	16	10
Christensenellaceae	24	9	8	4
Anaerotignaceae	24	10	8	1
Eubacteriaceae	20	10	9	6
CAG-465	18	13	11	9
Clostridiaceae	15	11	3	8
CAG-272	14	10	0	6
UBA1381	10	7	3	5
DTU072	7	5	5	3
CAG-314	6	4	2	3
CAG-917	5	3	1	2
Peptostreptococcaceae	5	4	1	3
UBA1242	5	2	2	0
CAG-274	4	3	0	2
UBA644	4	3	0	2
JAAYOS01	4	3	0	2
DUVY01	4	4	3	4
Filifactoraceae	4	1	1	0
Monoglobaceae	3	1	0	0
UBA9506	3	1	0	0
Borkfalkiaceae	3	3	0	3
Cellulosilyticaceae	3	2	0	1
Firm-18	2	1	1	0
UMGS416	2	2	0	2
Sedimentibacteraceae	2	1	1	0
Anaerofustaceae	2	2	0	2
CALVMC01	2	1	1	0
CALWSW01	2	1	0	0
MGBC116941	2	1	0	0
UBA1431	2	1	0	0
UMGS1384	1	1	0	1
UBA1234	1	1	0	1
RGIG7773	1	1	0	1
CAG-382	1	1	0	1
UMGS1810	1	1	1	1
RGIG577	1	1	1	1
UBA1750	1	1	1	1
SIG627	1	1	0	1
CALMFG01	1	1	1	1
QAMX01	1	1	0	1
