genus	wild_sgbs	gtdb_r220_species_clusters	ratio	at_least_twofold	gtdb_clusters_le_2
JAGPHI01	13	1	13.000	yes	yes
JAIHAL01	12	2	6.000	yes	yes
Hydrogenoanaerobacterium	5	1	5.000	yes	yes
JAHHTP01	4	1	4.000	yes	yes
UBA866	40	10	4.000	yes	no
Anaerotruncus	42	16	2.625	yes	no
Merdimmobilis	2	1	2.000	yes	yes
Soleaferrea	2	1	2.000	yes	yes
Harryflintia	7	4	1.750	no	no
Massilioclostridium	3	2	1.500	no	yes
CALWZE01	1	1	1.000	no	yes
JAAYCI01	5	5	1.000	no	no
JAUNTE01	1	1	1.000	no	yes
RGIG7389	1	1	1.000	no	yes
Angelakisella	21	25	0.840	no	no
Ruthenibacterium	16	20	0.800	no	no
Fimivivens	7	13	0.538	no	no
CALXEM01	1	2	0.500	no	yes
Massiliimalia	2	6	0.333	no	no
Negativibacillus	4	16	0.250	no	no
RGIG3102	4	22	0.182	no	no
WRAV01	1	10	0.100	no	no
Fournierella	1	16	0.062	no	no
