family	direction	n_amphibian_present	n_reference_present	prevalence_amphibian	prevalence_reference	beta	LRT	p	q
GH112	amphibian_higher	56	2	0.5714	0.0769	3.06358499701201	22.9702778244854	1.64525529666726e-06	0.000161235019073391
GT122	amphibian_higher	81	10	0.8265	0.3846	2.12296407376614	19.48155376242	1.01575877534676e-05	0.000663629066559886
GH4	amphibian_higher	56	5	0.5714	0.1923	2.81159910344305	13.4160643581598	0.000249478568120298	0.00543308881684205
GH95	amphibian_higher	45	4	0.4592	0.1538	2.31571818612943	8.43868059869166	0.00367322660214775	0.0342834482867123
GH29	amphibian_higher	63	9	0.6429	0.3462	2.53788820061678	9.25226900267106	0.00235203823992935	0.0271441554101786
GH13_6	amphibian_higher	80	14	0.8163	0.5385	2.25283037160806	14.3034776788362	0.000155577190488532	0.00435616133367889
GH88	amphibian_higher	27	1	0.2755	0.0385	2.64056357697588	9.25047771568228	0.00235434001006651	0.0271441554101786
GH94	amphibian_higher	83	16	0.8469	0.6154	4.25605451594051	16.6202384819879	4.56611724787281e-05	0.00223739745145768
GH110	amphibian_higher	21	0	0.2143	0.0000	3.89410225950309	8.32082167881445	0.00391931868552309	0.0349175664710239
GT39	amphibian_higher	17	0	0.1735	0.0000	4.64276309021671	14.6617977677959	0.000128627006716786	0.00420181555274834
GH13_16	amphibian_higher	69	14	0.7041	0.5385	0.905693001195658	9.33085316191978	0.00225327421017141	0.0271441554101786
GT83	amphibian_higher	16	0	0.1633	0.0000	4.35158230450629	12.4961700039118	0.000407787162784889	0.00799262839058383
GH171	reference_higher	25	10	0.2551	0.3846	-2.76470757020554	8.83637623645208	0.00295284879127444	0.0300498580959446
GH163	reference_higher	21	9	0.2143	0.3462	-2.49487870471847	8.76758484732815	0.00306631205060659	0.0300498580959446
GH27	reference_higher	6	6	0.0612	0.2308	-2.87052769523825	10.1250639398266	0.00146266584550125	0.0220525004398651
GH30_6	reference_higher	6	6	0.0612	0.2308	-2.47716254032603	8.93205597363067	0.00280208752446376	0.0300498580959446
GH30_2	reference_higher	5	6	0.0510	0.2308	-2.06263131975431	10.7102548366212	0.00106543353448674	0.0189840884326728
GT100	reference_higher	5	6	0.0510	0.2308	-3.002461687409	9.75466997445707	0.00178867750431988	0.0250414850604783
GH92	reference_higher	11	9	0.1122	0.3462	-3.4830748698342	15.8103306706321	7.00191617205581e-05	0.00274475113944588
GH173	reference_higher	4	9	0.0408	0.3462	-4.22121003591726	24.9980322110298	5.73888553234703e-07	0.000112482156434002
GT2_Glyco_tranf_2_3	reference_higher	41	20	0.4184	0.7692	-1.98749950462772	10.1880234174649	0.00141355756147443	0.0220525004398651
GT8	reference_higher	6	12	0.0612	0.4615	-2.24219962830616	13.7259627684661	0.000211510318374075	0.00518200280016484
