secondary_cluster	n_genomes	n_arms	arms	genome_ids
446_1	4	3	ehi;gtdb_ref;youngblut	EHM030733;EHM031280;GCA_000435195.1;SAMEA3387495__metabat2_high_PE.011
591_1	3	3	ehi;gtdb_ref;youngblut	EHM037555;GCF_016901605.1;LHCFR01400__maxbin2_low_prob.037
629_1	50	3	ehi;gtdb_ref;youngblut	EHM029832;EHM029858;EHM029879;EHM029911;EHM029936;EHM030000;EHM030060;EHM030068;EHM030073;EHM030122;EHM030127;EHM030180;EHM030196;EHM030231;EHM030244;EHM030286;EHM030297;EHM030322;EHM030380;EHM030389;EHM030432;EHM030461;EHM030480;EHM030517;EHM030538;EHM030563;EHM030629;EHM030648;EHM030685;EHM030704;EHM030738;EHM030785;EHM030803;EHM030882;EHM030891;EHM030926;EHM030975;EHM031017;EHM031117;EHM031127;EHM031171;EHM031204;EHM031264;EHM031282;EHM031331;EHM031392;EHM031399;EHM031424;GCA_900540455.1;Glacier_p2__maxbin2_low_prob.007
871_1	9	3	ehi;gtdb_ref;youngblut	EHM046735;EHM046789;EHM046870;EHM047032;EHM047312;EHM064871;EHM065144;GCA_947624675.1;X301_European_Hare__metabat2_high_PE.011
1042_3	2	2	ehi;gtdb_ref	EHM047436;GCA_947626165.1
1059_1	5	2	ehi;gtdb_ref	EHM038045;EHM038359;EHM045569;EHM045674;GCA_030531185.1
1213_1	2	2	ehi;gtdb_ref	EHM065478;GCA_947624295.1
1229_1	2	2	ehi;gtdb_ref	EHM035950;GCA_021769725.1
1232_1	2	2	ehi;gtdb_ref	EHM047013;GCA_900752785.1
1233_1	2	2	ehi;gtdb_ref	EHM047277;GCA_017462565.1
1261_1	2	2	ehi;gtdb_ref	EHM067694;GCA_021205185.1
271_1	6	2	ehi;gtdb_ref	EHM037366;EHM037840;EHM037921;EHM045537;EHM045666;GCA_900752435.1
485_1	9	2	ehi;gtdb_ref	EHM030079;EHM030346;EHM030478;EHM030511;EHM030567;EHM031178;EHM031273;EHM031345;GCA_934845495.1
549_1	21	2	ehi;gtdb_ref	EHM029841;EHM029898;EHM030102;EHM030165;EHM030186;EHM030229;EHM030253;EHM030291;EHM030382;EHM030391;EHM030499;EHM030618;EHM030757;EHM030782;EHM030880;EHM030929;EHM031193;EHM031265;EHM031286;EHM031449;GCA_937880095.1
733_1	2	2	ehi;gtdb_ref	EHM047108;GCA_947629275.1
737_1	4	2	ehi;gtdb_ref	EHM035927;EHM035975;EHM036663;GCA_902471535.1
743_1	2	2	ehi;gtdb_ref	EHM047407;GCA_947627235.1
755_1	2	2	ehi;gtdb_ref	EHM047158;GCA_947625615.1
783_1	3	2	ehi;gtdb_ref	EHM047304;EHM047409;GCA_947625735.1
799_1	2	2	ehi;gtdb_ref	EHM047278;GCA_947594425.1
859_1	2	2	ehi;gtdb_ref	EHM038109;GCA_947175045.1
905_2	8	2	ehi;gtdb_ref	EHM046765;EHM046798;EHM046872;EHM046990;EHM047116;EHM047177;EHM047415;GCA_947625155.1
937_1	2	2	ehi;gtdb_ref	EHM038280;GCA_019417865.1
1130_1	2	2	gtdb_ref;youngblut	GCA_000701945.1;SAMEA3663299__metabat2_low_PE.032
1167_1	2	2	gtdb_ref;youngblut	GCA_937910385.1;R05__metabat2_low_PE.032
1195_1	2	2	gtdb_ref;youngblut	GCA_002438605.1;SAMEA104315421__metabat2_low_PE.050
1255_1	2	2	gtdb_ref;youngblut	GCA_945876405.1;SAMEA3663038__metabat2_low_PE.024
423_1	2	2	gtdb_ref;youngblut	GCF_025146135.1;LBJMR02800__metabat2_low_PE.053
444_1	2	2	gtdb_ref;youngblut	GCA_019112675.1;LBJMC04200__metabat2_high_PE.003
527_1	2	2	gtdb_ref;youngblut	GCA_944386565.1;NHCFI02800__metabat2_high_PE.010
532_1	2	2	gtdb_ref;youngblut	GCA_019112665.1;DSTMC04003__metabat2_low_PE.033
541_1	2	2	gtdb_ref;youngblut	GCA_019119935.1;NBJMR02800__maxbin2_low_prob.004
573_1	2	2	gtdb_ref;youngblut	GCA_019118805.1;DSTMR04002__metabat2_high_PE.039
576_1	2	2	gtdb_ref;youngblut	GCF_900167555.1;SAMEA3387437__metabat2_high_PE.012
588_1	2	2	gtdb_ref;youngblut	GCA_019119495.1;DSLFC04102__metabat2_high_PE.002
